pair,delta
"Key.cmd,'å'",0.056395769119262695
"'å','b'",0.7999410629272461
"'b','c'",0.17370891571044922
"'c','a'",0.11606502532958984
"'a','l'",0.06831502914428711
"'l',Key.enter",0.21677303314208984
"Key.right,Key.left",0.7440910339355469
"'w','e'",0.06182408332824707
"'e','",0.5179798603057861
"','r'",0.12805604934692383
"'r','e'",0.08008694648742676
"'e',Key.space",0.07417702674865723
"Key.space,'g'",0.11764097213745117
"'g','o'",0.07425689697265625
"'o','n'",0.14002203941345215
"'n','n'",0.1278820037841797
"'n','a'",0.06391215324401855
"'a',Key.space",0.11006689071655273
"Key.space,'w'",0.20809412002563477
"'w','r'",0.08803296089172363
"'r','i'",0.12397480010986328
"'i','t'",0.10185813903808594
"'t','e'",0.10032415390014648
"'e',Key.space",0.09573769569396973
"Key.space,'a'",0.08407402038574219
"'a',Key.space",0.1038062572479248
"Key.space,'s'",0.18179678916931152
"'s','c'",0.20119929313659668
"'c','r'",0.16819286346435547
"'r','o'",0.06909608840942383
"'o','p'",0.15189385414123535
"'p',Key.backspace",0.29794788360595703
"Key.backspace,Key.backspace",0.10214018821716309
"Key.backspace,'i'",0.22195005416870117
"'i','p'",0.10998988151550293
"'p','t'",0.05802202224731445
"'t',Key.space",0.13188481330871582
"Key.space,'t'",0.08990836143493652
"'t','h'",0.09821963310241699
"'h','a'",0.01574230194091797
"'a','t'",0.10018372535705566
"'t',Key.space",0.08995723724365234
"Key.space,'c'",0.4401090145111084
"'c','o'",0.054017066955566406
"'o','n'",0.07207989692687988
"'n','v'",0.0718991756439209
"'v','e'",0.1820049285888672
"'e','r'",0.08597683906555176
"'r','t'",0.2144320011138916
"'t','e'",0.15113115310668945
"'e',Key.backspace",0.3462657928466797
"Key.backspace,'s'",0.08816194534301758
"'s',Key.space",0.14794301986694336
"Key.space,'t'",0.23766493797302246
"'t','h'",0.05396604537963867
"'h','e'",0.06604599952697754
"'e',Key.space",0.0779581069946289
"Key.space,'k'",0.1265869140625
"'k','e'",0.11385130882263184
"'e','y'",0.174055814743042
"'y','l'",0.3540959358215332
"'l','o'",0.8219602108001709
"'o','g'",0.13596701622009277
"'g','s'",0.2438976764678955
"'s',Key.space",0.10598015785217285
"Key.space,Key.backspace",0.566011905670166
"Key.backspace,Key.backspace",0.13809609413146973
"Key.backspace,'g'",0.16007399559020996
"'g','s'",0.09288191795349121
"'s',Key.space",0.1152961254119873
"Key.space,'i'",0.38179898262023926
"'i','n'",0.04604315757751465
