pair,delta
"Key.cmd,'œ'",0.31107187271118164
"'a','l'",1.4582819938659668
"Key.backspace,Key.backspace",0.21744608879089355
"Key.backspace,Key.backspace",0.12584805488586426
"Key.shift_r,Key.space",0.44199681282043457
"Key.space,Key.backspace",0.6233901977539062
"Key.backspace,'j'",0.20310473442077637
"'j','a'",0.11339116096496582
"'a','z'",0.35062503814697266
"'z',Key.enter",0.5131449699401855
"'w','e'",0.06414365768432617
"'e',Key.space",0.07905817031860352
"Key.space,'h'",0.14805197715759277
"'h','a'",0.06790804862976074
"'a','v'",0.07605910301208496
"'v','e'",0.047995805740356445
"'e',Key.space",0.08233499526977539
"Key.space,'d'",0.10162210464477539
"'d','e'",0.1391918659210205
"'e','c'",0.13188409805297852
"'c','i'",0.16901683807373047
"'i','d'",0.10053229331970215
"'d','e'",0.14040398597717285
"'e','d'",0.12697601318359375
"'d',Key.space",0.21335601806640625
"Key.space,'t'",0.2747159004211426
"'t','o'",0.0855250358581543
"'o',Key.space",0.10637593269348145
"Key.space,'k'",1.8168950080871582
"'k','e'",0.10710692405700684
"'e','e'",0.11809897422790527
"'e','p'",0.09989190101623535
"'p',Key.space",0.1444101333618164
"Key.space,'t'",0.17306900024414062
"'t','h'",0.04771685600280762
"'h','e'",0.051795244216918945
"'e',Key.space",0.09985589981079102
"Key.space,'k'",0.13726305961608887
"'k','e'",0.07601189613342285
"'e','y'",0.24543499946594238
"'y','l'",0.22095012664794922
"'l','o'",0.18172693252563477
"'o','g'",0.20072197914123535
"'g','g'",0.12804007530212402
"'g','e'",0.10805702209472656
"'e','r'",0.0882101058959961
"'r',Key.space",0.17470479011535645
"Key.space,'r'",0.3821272850036621
"'r','u'",0.11586380004882812
"'u','n'",0.2190718650817871
"'n','n'",0.14190316200256348
"'n','i'",0.15960097312927246
"'i','n'",0.051657915115356445
"'n','g'",0.07576608657836914
"'g',Key.space",0.16012310981750488
"Key.space,'t'",1.3590469360351562
"'t','h'",0.07575082778930664
"'h','e'",0.037894248962402344
"'e',Key.space",0.07785987854003906
"Key.space,'e'",0.19471979141235352
"'e','n'",0.055535078048706055
"'n','t'",0.136091947555542
"'t','i'",0.055921077728271484
"'i','r'",0.11211204528808594
"'r','e'",0.08019399642944336
"'e',Key.space",0.19665884971618652
"Key.space,'t'",0.6402781009674072
"'t','i'",0.11592698097229004
"'i','m'",0.13113808631896973
"'m','e'",0.08018898963928223
"'e',Key.space",0.11150312423706055
"Key.space,'s'",0.16491484642028809
"'s','o'",0.09282398223876953
"'o',Key.space",0.05943727493286133
"Key.space,'t'",0.07588458061218262
"'t','h'",0.08813905715942383
"'h','a'",0.10438132286071777
"'a','t'",0.08393692970275879
"'t',Key.space",0.06761503219604492
"Key.space,'w'",0.3697469234466553
"'w','e'",0.060048818588256836
"'e',Key.space",0.09597897529602051
"Key.space,'h'",0.14200711250305176
"'h','a'",0.1244349479675293
"'a','v'",0.09885692596435547
"'v','e'",0.055805206298828125
"'e',Key.space",0.12441873550415039
"Key.space,'m'",0.9876463413238525
"'m','o'",0.2610969543457031
"'o','r'",0.1399397850036621
"'r','e'",0.07993221282958984
"'e',Key.space",0.027997970581054688
"Key.space,'r'",0.15485310554504395
"'r','o'",0.15251779556274414
"'o','b'",0.14379024505615234
"'b','u'",0.6000766754150391
"'u','s'",0.07188224792480469
"'s','t'",0.15420770645141602
"'t',Key.space",0.06377530097961426
"Key.space,'d'",0.3216378688812256
"'d','a'",0.1082911491394043
"'a','t'",0.1557929515838623
"'t','a'",0.05991792678833008
"'a',Key.enter",0.38100194931030273
"Key.enter,'s'",1.4629640579223633
"'s','o'",0.0881960391998291
"'o',Key.space",0.135908842086792
"Key.space,'y'",0.5128881931304932
"'y','o'",0.20325493812561035
"'o','u'",0.09622716903686523
"'u',Key.space",0.08753061294555664
"Key.space,'n'",0.19820618629455566
"'n','e'",0.06429195404052734
"'e','e'",0.13579010963439941
"'e','d'",0.14666175842285156
"'d',Key.space",0.06963038444519043
"Key.space,'t'",0.15654397010803223
"'t','o'",0.015961885452270508
"'o',Key.space",0.09337377548217773
"Key.space,'s'",0.20256304740905762
"'s','t'",0.18597817420959473
"'t','a'",0.13002395629882812
"'a','r'",0.03993511199951172
"'r','t'",0.21208691596984863
"'t',Key.space",0.2057480812072754
"Key.space,'t'",0.10898303985595703
"'t','h'",0.07569360733032227
"'h','e'",0.05570626258850098
"'e',Key.space",0.07196903228759766
"Key.space,'k'",0.14237689971923828
"'k','e'",0.1604909896850586
"'e','y'",0.08387207984924316
"'y','l'",0.1865370273590088
"'l','o'",0.2014451026916504
"'o','g'",0.10816001892089844
"'g','g'",0.09795403480529785
"'g','e'",0.23749780654907227
"'e','r'",0.07726192474365234
"'r',Key.space",0.0823061466217041
"Key.space,'a'",0.09882497787475586
"'a','n'",0.04406595230102539
"'n','d'",0.08867692947387695
"'d',Key.space",0.06314492225646973
"Key.space,Key.backspace",0.447498083114624
"Key.backspace,Key.backspace",0.14272093772888184
"Key.backspace,Key.backspace",0.125075101852417
"Key.backspace,'s'",0.08826684951782227
"'s',Key.space",0.12413525581359863
"Key.space,'w'",0.42133092880249023
"'w','e'",0.056160926818847656
"'e','l'",0.028153181076049805
"'l','l'",0.14208579063415527
"'l',Key.space",0.07271599769592285
"Key.space,'a'",0.11028003692626953
"'a','n'",0.049674034118652344
"'n','d'",0.06395697593688965
"'d',Key.space",0.07590913772583008
"Key.space,'m'",0.15240097045898438
"'m','a'",0.06424188613891602
"'a','k'",0.07559704780578613
"'k','e'",0.09630298614501953
"'e',Key.space",0.08427810668945312
"Key.space,'s'",0.06376075744628906
"'s','u'",0.09183216094970703
"'u','r'",0.10405087471008301
"'r','e'",0.07161307334899902
"'e',Key.space",0.04005122184753418
"Key.space,'t'",0.11674880981445312
"'t','h'",0.06322693824768066
"'h','a'",0.13200998306274414
"'a','t'",0.0880122184753418
"'t',Key.space",0.11184382438659668
"Key.space,'y'",0.3361661434173584
"'y','o'",0.3192448616027832
"'o','u'",0.042668819427490234
"'u',Key.space",0.19300127029418945
"Key.space,'d'",0.10452795028686523
"'d','o'",0.10403800010681152
"'o','n'",0.08007097244262695
"'n','t'",0.1736278533935547
"'t',Key.space",0.0796351432800293
"'c','l'",0.0650796890258789
"'l','o'",0.19861721992492676
"'o','s'",0.07998490333557129
"'s','e'",0.06721997261047363
"'e',Key.space",0.10866498947143555
