pair,delta
"'m','e'",0.2324531078338623
"'e','d'",0.2162017822265625
"'d','i'",0.12355613708496094
"'i','u'",0.12824511528015137
"'u',Key.enter",0.4366898536682129
"Key.cmd,'†'",0.14402484893798828
"Key.cmd,'†'",0.08395195007324219
"'†','b'",0.45426416397094727
"'b','c'",0.1767418384552002
"'c','o'",0.11199092864990234
"'o','u'",0.1159970760345459
"'u','r'",0.13205790519714355
"'r',Key.enter",0.2777371406555176
"Key.cmd,'®'",0.12380003929138184
"Key.cmd,'†'",0.24364876747131348
"'†','c'",0.5808990001678467
"'c','y'",0.1534440517425537
"'y','b'",0.25165605545043945
"'b','e'",0.09197473526000977
"'e','r'",0.06456327438354492
"'r','s'",0.37752389907836914
"'s','e'",0.3171961307525635
"'e','c'",0.2762918472290039
"'c','u'",0.18746018409729004
"'u','r'",0.13222765922546387
"'r','i'",0.09632015228271484
"'i','t'",0.14854693412780762
"'t','y'",0.38614606857299805
"'y',Key.space",0.13647794723510742
"Key.space,'v'",0.24008822441101074
"'v','s'",0.07608580589294434
"'s',Key.space",0.0633091926574707
"Key.space,'p'",0.23011469841003418
"'p','r'",0.16979217529296875
"'r','i'",0.09958219528198242
"'i','v'",0.27060675621032715
"'v','a'",0.10805201530456543
"'a','c'",0.17014408111572266
"'c','y'",0.1002800464630127
"'y',Key.enter",0.32242894172668457
"Key.enter,Key.enter",1.692091941833496
"'c','a'",0.06553792953491211
"'a','n'",0.11167097091674805
"'n',Key.space",0.10027790069580078
"Key.space,'y'",0.1277003288269043
"'y','o'",0.09254288673400879
"'o','u'",0.10812592506408691
"'u',Key.space",0.08736705780029297
"Key.space,'b'",0.07640695571899414
"'b','u'",0.10838985443115234
"'u','i'",0.13170814514160156
"'i','l'",0.12057805061340332
"'l','d'",0.09941673278808594
"'d',Key.space",0.09284424781799316
"Key.space,'c'",0.15500092506408691
"'c','y'",0.09984016418457031
"'y','b'",0.2022860050201416
"'b','e'",0.0400090217590332
"'e','r'",0.055914878845214844
"'r','s'",0.16603875160217285
"'s','e'",0.09996724128723145
"'e','d'",0.29619383811950684
"'d','u'",0.1313481330871582
"'u',Key.backspace",0.40032076835632324
"Key.backspace,Key.backspace",0.18900227546691895
"Key.backspace,'c'",0.23409008979797363
"'c','u'",0.13777470588684082
"'u','r'",0.12542414665222168
"'r','i'",0.12080597877502441
"'i','t'",0.0961301326751709
"'t','y'",0.18677401542663574
"'y',Key.space",0.08794283866882324
"Key.space,'w'",0.08813691139221191
"'w','i'",0.09203314781188965
"'i','t'",0.10872101783752441
"'t','h'",0.06032896041870117
"'h','o'",0.09207296371459961
"'o','u'",0.11132597923278809
"'u','t'",0.07666897773742676
"'t',Key.space",0.14536309242248535
"Key.space,'h'",0.45643091201782227
"'h','a'",0.09211421012878418
"'a','r'",0.03947806358337402
"'r','m'",0.4376058578491211
"'m','i'",0.12138605117797852
"'i','n'",0.13518381118774414
"'n','g'",0.09980511665344238
"'g',Key.space",0.07096409797668457
"Key.space,'p'",0.11605978012084961
"'p','r'",0.12797212600708008
"'r','i'",0.10796904563903809
"'i','v'",0.10799789428710938
"'v','a'",0.12409806251525879
"'a','c'",0.210068941116333
"'c','y'",0.060292959213256836
"'y',Key.enter",0.32961392402648926
"Key.enter,Key.enter",0.13671398162841797
"Key.cmd,'ç'",0.11237502098083496
"'ç',Key.cmd",0.35500288009643555
"Key.cmd,'†'",0.07990598678588867
"'†',Key.cmd",0.4084749221801758
"Key.cmd,'√'",0.09604024887084961
"'√',Key.enter",0.20001578330993652
"Key.enter,Key.enter",0.1949748992919922
"Key.enter,Key.enter",0.18366432189941406
"Key.enter,Key.cmd",0.8834197521209717
"Key.cmd,'∑'",0.048145294189453125
"Key.cmd,'∑'",0.09200882911682129
"Key.cmd,'ç'",0.0753469467163086
"'ç',Key.cmd",0.7923729419708252
"Key.cmd,'†'",0.19164609909057617
"'†',Key.cmd",0.48001790046691895
"Key.cmd,'√'",0.0747079849243164
"'√',Key.enter",0.28294992446899414
"Key.enter,Key.enter",0.22765207290649414
"Key.cmd,'∑'",0.08916783332824707
"Key.cmd,'∑'",0.06786012649536133
"Key.shift_r,'I'",0.12402939796447754
"'I','E'",0.11213064193725586
"'E','O'",0.15587306022644043
"'O','R'",0.11958718299865723
"Key.space,'-'",0.0839848518371582
"'-',Key.space",0.0919959545135498
"Key.space,Key.shift_r",0.7141201496124268
"Key.shift_r,'B'",0.823706865310669
"'B','l'",0.37914109230041504
"'l','o'",0.17494416236877441
"'o','g'",0.09586477279663086
"'g',Key.space",0.15408802032470703
"Key.space,Key.shift_r",0.5611460208892822
"Key.shift_r,';'",0.14389920234680176
"';',Key.space",0.16372895240783691
"Key.space,'C'",1.0643398761749268
"'C','y'",0.3578622341156006
"'y','b'",0.23401474952697754
"'b','e'",0.036022186279296875
"'e','r'",0.060341596603393555
"'r','s'",0.17875218391418457
"'s','e'",0.21098613739013672
"'e','c'",0.25298380851745605
"'c','u'",0.15109014511108398
"'u','r'",0.07480001449584961
"'r','i'",0.1119389533996582
"'i','t'",0.15201497077941895
"'t','y'",0.2191619873046875
"'y',Key.space",0.0998678207397461
"Key.space,'v'",0.2859933376312256
"'v','s'",0.08006882667541504
"'s','.'",0.43091797828674316
"'.',Key.space",0.1318349838256836
"Key.space,'p'",0.7073380947113037
"'p','r'",0.11974287033081055
"'r','i'",0.12813210487365723
"'i','v'",0.07998299598693848
"'v','a'",0.07997512817382812
"'a','c'",0.20529580116271973
"'c','y'",0.33672404289245605
"'y',Key.tab",0.8848371505737305
"Key.backspace,Key.shift_r",0.563352108001709
"Key.shift_r,'P'",0.20795488357543945
"Key.backspace,Key.backspace",0.4320032596588135
"Key.backspace,'/'",0.6350538730621338
"Key.cmd,'†'",0.27211594581604004
"'†','c'",0.43229007720947266
"'c','y'",0.13666391372680664
"'y','b'",0.21042895317077637
"'b','e'",0.034394025802612305
"'e','r'",0.0919179916381836
"'r','s'",0.22417998313903809
"'s','e'",0.09984207153320312
"'e','c'",0.29824090003967285
"'c','u'",0.24931001663208008
"'u','r'",0.1555471420288086
"'r','i'",0.11205410957336426
"'i','t'",0.13202261924743652
"'t','y'",0.20097112655639648
"'y',Key.enter",0.11098909378051758
"Key.enter,Key.enter",0.12996292114257812
"'c','y'",0.1260390281677246
"'y','b'",0.17571401596069336
"'b','e'",0.032150983810424805
"'e','r'",0.08384394645690918
"'r','s'",0.17300701141357422
"'s','e'",0.07213282585144043
"'e','c'",0.22279930114746094
"'c','u'",0.14023590087890625
"'u','r'",0.10390400886535645
"'r','i'",0.10808086395263672
"'i','t'",0.10804915428161621
"'t','y'",0.30844902992248535
"'y',Key.backspace",0.15826106071472168
"Key.backspace,Key.enter",0.35117077827453613
"Key.enter,Key.enter",0.43315601348876953
"Key.cmd,'†'",0.11587882041931152
"'†','m'",0.3710901737213135
"'m','e'",0.14774799346923828
"'e','d'",0.3379020690917969
"'d','i'",0.14794492721557617
"'i','u'",0.18662190437316895
"'u','m'",0.27579498291015625
"'m',Key.enter",0.3608400821685791
"Key.cmd,'ç'",0.15145516395568848
"'ç',Key.cmd",1.1828958988189697
"Key.cmd,'√'",0.06385993957519531
"'√',Key.backspace",1.956409215927124
"Key.backspace,Key.shift_r",0.7366588115692139
"Key.shift_r,'T'",0.08826494216918945
"'T','h'",0.1621570587158203
"'h','e'",0.02405095100402832
"'e',Key.space",0.23985004425048828
"Key.space,'d'",0.10404706001281738
"'d','e'",0.16602396965026855
"'e','f'",0.07189202308654785
"'f','i'",0.09557294845581055
"'i','n'",0.0882570743560791
"'n','i'",0.11618709564208984
"'i','t'",0.11800408363342285
"'t','i'",0.06393980979919434
"'i','o'",0.08410096168518066
"'o','n'",0.05598592758178711
"'n',Key.space",0.10756301879882812
"Key.space,'o'",0.08424496650695801
"'o','f'",0.05618929862976074
"'f',Key.space",0.12787675857543945
"Key.space,'p'",0.24210309982299805
"'p','r'",0.13666105270385742
"'r','i'",0.0914149284362793
"'i','v'",0.05181407928466797
"'v','a'",0.1203010082244873
"'a','c'",0.21877098083496094
"'c','y'",0.055986881256103516
"'y',Key.space",0.07990598678588867
"Key.space,'h'",0.1241452693939209
"'h','a'",0.035539865493774414
"'a','s'",0.04040813446044922
"'s','n'",0.13789582252502441
"'n','",0.06806516647338867
"','t'",0.1327359676361084
"'t',Key.space",0.07517790794372559
"Key.space,'c'",0.17506790161132812
"'c','h'",0.08392810821533203
"'h',Key.backspace",0.3499331474304199
"Key.backspace,Key.backspace",0.1496739387512207
"Key.backspace,Key.backspace",0.12790870666503906
"Key.backspace,Key.backspace",0.10693025588989258
"Key.backspace,Key.backspace",0.12207794189453125
"Key.backspace,Key.backspace",0.11007285118103027
"Key.backspace,Key.space",0.243941068649292
"Key.space,'n'",0.16413593292236328
"'n','o'",0.052062034606933594
"'o','t'",0.05203819274902344
"'t',Key.space",0.07172083854675293
"Key.space,'c'",0.16103911399841309
"'c','h'",0.09597396850585938
"'h','a'",0.10707712173461914
"'a','n'",0.05913972854614258
"'n','g'",0.11576414108276367
"'g','e'",0.05051302909851074
"'e','d'",0.14949798583984375
"'d',Key.space",0.0572810173034668
"Key.space,'m'",0.0767979621887207
"'m','u'",0.21994304656982422
"'u','c'",0.08011984825134277
"'c','h'",0.08428716659545898
"'h',Key.space",0.06615591049194336
"Key.space,'o'",0.8327178955078125
"'o','v'",0.09984612464904785
"'v','e'",0.06792092323303223
"'e','r'",0.08399486541748047
"'r',Key.space",0.10396742820739746
"Key.space,'t'",0.32418084144592285
"'t','h'",0.07998800277709961
"'h','e'",0.07199478149414062
"'e',Key.space",0.14005112648010254
"Key.space,'p'",0.2131359577178955
"'p','a'",0.04691600799560547
"'a','s'",0.13187503814697266
"'s','t'",0.17594003677368164
"'t',Key.backspace",0.6070380210876465
"Key.backspace,Key.backspace",0.15904688835144043
"Key.backspace,Key.backspace",0.13876700401306152
"Key.backspace,Key.backspace",0.26024818420410156
"Key.backspace,Key.backspace",0.20783591270446777
"Key.backspace,Key.backspace",0.2212209701538086
"Key.backspace,Key.backspace",0.13468503952026367
"Key.backspace,Key.backspace",0.1471729278564453
"Key.backspace,Key.backspace",0.10883593559265137
"Key.backspace,'t'",0.31053900718688965
"'t',Key.backspace",0.38730812072753906
"Key.backspace,Key.space",0.13711905479431152
"Key.space,'t'",0.17305684089660645
"'t','i'",0.06913304328918457
"'i','m'",0.0708608627319336
"'m','e'",0.052059173583984375
"'e',Key.shift_r",0.22997784614562988
"Key.shift_r,';'",0.17173123359680176
"';',Key.space",0.12811589241027832
"Key.space,'p'",1.4783499240875244
"'p','m'",1.7298359870910645
"'m','e'",0.06378602981567383
"'e','a'",0.06016397476196289
"'a','n'",0.09587311744689941
"'n','s'",0.09999203681945801
"'.',Key.space",0.3257129192352295
"Key.shift_r,'H'",0.1479930877685547
"'H','o'",0.16005373001098633
"'o','w'",0.04383993148803711
"'w','e'",0.10440421104431152
"'e','v'",0.19570112228393555
"'v','e'",0.13205385208129883
"'e','r'",0.10236597061157227
"'r',Key.space",0.19334006309509277
"'w','h'",0.16781115531921387
"'h','e'",0.1950688362121582
"'e','t'",0.20321011543273926
"'t','h'",0.12874102592468262
"'h','e'",0.06398797035217285
"'e','r'",0.06403899192810059
"'r',Key.space",0.06792402267456055
"Key.space,'t'",0.14134597778320312
"'t','h'",0.07185792922973633
"'h','i'",0.06421017646789551
"'i','s'",0.08761978149414062
"'s',Key.space",0.09575915336608887
"Key.space,'i'",0.06824493408203125
"'i','s'",0.08405900001525879
"'s',Key.space",0.09602808952331543
"Key.space,'a'",0.576106071472168
"'a',Key.backspace",0.5177719593048096
